TIME,TIME,DATE,TIMING,MONTH,DAY,HOUR,LOCATION,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS,LATITUDE,LONGITUDE,DAY_OF_WEEK,WEEKEND
2019-10-28 07:45:00-04:00,2019-10-28 07:45:00-04:00,2019-10-28,07:45:00,10,28,7,Campus_Dr_&_Presidential_Ave,3,0,149,7,6,38.985440,-76.954820,0,0
2019-10-28 08:00:00-04:00,2019-10-28 08:00:00-04:00,2019-10-28,08:00:00,10,28,8,Campus_Dr_&_Presidential_Ave,5,0,134,2,6,38.985440,-76.954820,0,0
2019-10-28 08:15:00-04:00,2019-10-28 08:15:00-04:00,2019-10-28,08:15:00,10,28,8,Campus_Dr_&_Presidential_Ave,12,1,98,4,3,38.985440,-76.954820,0,0
2019-10-28 08:30:00-04:00,2019-10-28 08:30:00-04:00,2019-10-28,08:30:00,10,28,8,Campus_Dr_&_Presidential_Ave,6,0,141,4,3,38.985440,-76.954820,0,0
2019-10-28 08:45:00-04:00,2019-10-28 08:45:00-04:00,2019-10-28,08:45:00,10,28,8,Campus_Dr_&_Presidential_Ave,0,0,149,4,1,38.985440,-76.954820,0,0
2019-10-28 09:00:00-04:00,2019-10-28 09:00:00-04:00,2019-10-28,09:00:00,10,28,9,Campus_Dr_&_Presidential_Ave,4,2,136,1,1,38.985440,-76.954820,0,0
2019-10-28 09:15:00-04:00,2019-10-28 09:15:00-04:00,2019-10-28,09:15:00,10,28,9,Campus_Dr_&_Presidential_Ave,2,0,131,5,5,38.985440,-76.954820,0,0
2019-10-28 09:30:00-04:00,2019-10-28 09:30:00-04:00,2019-10-28,09:30:00,10,28,9,Campus_Dr_&_Presidential_Ave,11,1,189,1,6,38.985440,-76.954820,0,0
2019-10-28 09:45:00-04:00,2019-10-28 09:45:00-04:00,2019-10-28,09:45:00,10,28,9,Campus_Dr_&_Presidential_Ave,11,4,153,7,5,38.985440,-76.954820,0,0
2019-10-28 10:00:00-04:00,2019-10-28 10:00:00-04:00,2019-10-28,10:00:00,10,28,10,Campus_Dr_&_Presidential_Ave,8,1,128,1,5,38.985440,-76.954820,0,0
2019-10-28 10:15:00-04:00,2019-10-28 10:15:00-04:00,2019-10-28,10:15:00,10,28,10,Campus_Dr_&_Presidential_Ave,9,1,111,2,4,38.985440,-76.954820,0,0
2019-10-28 10:30:00-04:00,2019-10-28 10:30:00-04:00,2019-10-28,10:30:00,10,28,10,Campus_Dr_&_Presidential_Ave,1,0,151,2,2,38.985440,-76.954820,0,0
2019-10-28 10:45:00-04:00,2019-10-28 10:45:00-04:00,2019-10-28,10:45:00,10,28,10,Campus_Dr_&_Presidential_Ave,8,1,155,1,7,38.985440,-76.954820,0,0
2019-10-28 11:00:00-04:00,2019-10-28 11:00:00-04:00,2019-10-28,11:00:00,10,28,11,Campus_Dr_&_Presidential_Ave,5,4,129,2,8,38.985440,-76.954820,0,0
2019-10-28 11:15:00-04:00,2019-10-28 11:15:00-04:00,2019-10-28,11:15:00,10,28,11,Campus_Dr_&_Presidential_Ave,3,1,83,2,6,38.985440,-76.954820,0,0
2019-10-28 11:30:00-04:00,2019-10-28 11:30:00-04:00,2019-10-28,11:30:00,10,28,11,Campus_Dr_&_Presidential_Ave,2,3,110,3,6,38.985440,-76.954820,0,0
2019-10-28 11:45:00-04:00,2019-10-28 11:45:00-04:00,2019-10-28,11:45:00,10,28,11,Campus_Dr_&_Presidential_Ave,5,0,127,1,3,38.985440,-76.954820,0,0
2019-10-28 12:00:00-04:00,2019-10-28 12:00:00-04:00,2019-10-28,12:00:00,10,28,12,Campus_Dr_&_Presidential_Ave,6,1,119,1,11,38.985440,-76.954820,0,0
